dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,kmeans_hamming,19,0.1,2,19,0.21016317218635833
Apache,kmeans_random,19,0.1,2,19,0.1638581325151815
Apache,random,,0.1,3,19,0.16761694970543423
Apache,kmeans_default,5,0.1,3,19,0.1952262107268305
Apache,kmeans_hamming,5,0.1,3,19,0.17998451196177426
Apache,kmeans_random,5,0.1,3,19,0.1971020747109519
Apache,kmeans_default,6,0.1,3,19,0.16917596277706579
Apache,kmeans_hamming,6,0.1,3,19,0.16429565785157083
Apache,kmeans_random,6,0.1,3,19,0.17959150793763787
Apache,kmeans_default,7,0.1,3,19,0.39816824215161434
Apache,kmeans_hamming,7,0.1,3,19,0.17890670169884004
Apache,kmeans_random,7,0.1,3,19,0.16993875668292222
Apache,kmeans_default,8,0.1,3,19,0.3323676270868611
Apache,kmeans_hamming,8,0.1,3,19,0.28212145969733327
Apache,kmeans_random,8,0.1,3,19,0.24712185398515324
Apache,kmeans_default,9,0.1,3,19,0.17550561593590253
Apache,kmeans_hamming,9,0.1,3,19,0.18016917686272343
Apache,kmeans_random,9,0.1,3,19,0.2251962451301208
Apache,kmeans_default,10,0.1,3,19,0.15322527524964194
Apache,kmeans_hamming,10,0.1,3,19,0.1479948737909851
Apache,kmeans_random,10,0.1,3,19,0.22509223119236285
Apache,kmeans_default,11,0.1,3,19,0.1781787487598193
Apache,kmeans_hamming,11,0.1,3,19,0.2026154434424712
Apache,kmeans_random,11,0.1,3,19,0.1960584781079015
Apache,kmeans_default,12,0.1,3,19,0.1628365708206153
Apache,kmeans_hamming,12,0.1,3,19,0.19770035539079045
Apache,kmeans_random,12,0.1,3,19,0.15299327785757497
Apache,kmeans_default,13,0.1,3,19,0.21699999757412528
Apache,kmeans_hamming,13,0.1,3,19,0.2157440070639112
Apache,kmeans_random,13,0.1,3,19,0.17393167673271073
Apache,kmeans_default,14,0.1,3,19,0.15597468514197665
Apache,kmeans_hamming,14,0.1,3,19,0.18084273235396345
Apache,kmeans_random,14,0.1,3,19,0.16919567249085798
Apache,kmeans_default,15,0.1,3,19,0.16925787496064593
Apache,kmeans_hamming,15,0.1,3,19,0.1946269855371871
Apache,kmeans_random,15,0.1,3,19,0.17416798530831135
Apache,kmeans_default,16,0.1,3,19,0.17116736199953683
Apache,kmeans_hamming,16,0.1,3,19,0.18494490063682584
Apache,kmeans_random,16,0.1,3,19,0.1706866583135084
Apache,kmeans_default,17,0.1,3,19,0.19571105669488115
Apache,kmeans_hamming,17,0.1,3,19,0.1949520368174586
Apache,kmeans_random,17,0.1,3,19,0.15805573573938025
Apache,kmeans_default,18,0.1,3,19,0.17058912806914706
Apache,kmeans_hamming,18,0.1,3,19,0.17823517222696134
Apache,kmeans_random,18,0.1,3,19,0.15365929042427384
Apache,kmeans_default,19,0.1,3,19,0.15946040811320394
Apache,kmeans_hamming,19,0.1,3,19,0.21567105131441452
Apache,kmeans_random,19,0.1,3,19,0.15858789429493772
Apache,random,,0.1,4,19,0.17374614346798364
Apache,kmeans_default,5,0.1,4,19,0.2210108963730226
Apache,kmeans_hamming,5,0.1,4,19,0.16563578509203386
Apache,kmeans_random,5,0.1,4,19,0.16019479407567355
Apache,kmeans_default,6,0.1,4,19,0.17864873811977267
Apache,kmeans_hamming,6,0.1,4,19,0.1762046930344049
Apache,kmeans_random,6,0.1,4,19,0.2464219034167739
Apache,kmeans_default,7,0.1,4,19,0.1963968615136901
Apache,kmeans_hamming,7,0.1,4,19,0.17742924075917824
Apache,kmeans_random,7,0.1,4,19,0.17799184434466886
Apache,kmeans_default,8,0.1,4,19,0.20680009048839298
Apache,kmeans_hamming,8,0.1,4,19,0.22717380426775885
Apache,kmeans_random,8,0.1,4,19,0.18554403535565062
Apache,kmeans_default,9,0.1,4,19,0.20531351248620047
Apache,kmeans_hamming,9,0.1,4,19,0.2316249350487212
Apache,kmeans_random,9,0.1,4,19,0.17896418003945624
Apache,kmeans_default,10,0.1,4,19,0.1598461597121123
Apache,kmeans_hamming,10,0.1,4,19,0.1895596760822867
Apache,kmeans_random,10,0.1,4,19,0.2037106105657814
Apache,kmeans_default,11,0.1,4,19,0.19146558859375662
Apache,kmeans_hamming,11,0.1,4,19,0.25300028826540016
Apache,kmeans_random,11,0.1,4,19,0.1701103993327211
Apache,kmeans_default,12,0.1,4,19,0.3238357659087306
Apache,kmeans_hamming,12,0.1,4,19,0.1810389984674864
Apache,kmeans_random,12,0.1,4,19,0.16272840115444792
Apache,kmeans_default,13,0.1,4,19,0.1728645601318119
Apache,kmeans_hamming,13,0.1,4,19,0.2069285144196411
Apache,kmeans_random,13,0.1,4,19,0.2168003240622265
Apache,kmeans_default,14,0.1,4,19,0.18095302905216834
Apache,kmeans_hamming,14,0.1,4,19,0.17167711728274068
Apache,kmeans_random,14,0.1,4,19,0.1893569664626106
Apache,kmeans_default,15,0.1,4,19,0.22936651051111492
Apache,kmeans_hamming,15,0.1,4,19,0.19591619907294736
Apache,kmeans_random,15,0.1,4,19,0.19704851693333403
Apache,kmeans_default,16,0.1,4,19,0.3122497008086084
Apache,kmeans_hamming,16,0.1,4,19,0.19471973151086042
Apache,kmeans_random,16,0.1,4,19,0.22082768840008296
Apache,kmeans_default,17,0.1,4,19,0.18946314227195304
Apache,kmeans_hamming,17,0.1,4,19,0.19874347217812735
Apache,kmeans_random,17,0.1,4,19,0.167472488171939
Apache,kmeans_default,18,0.1,4,19,0.1707462904219034
Apache,kmeans_hamming,18,0.1,4,19,0.22347935819241344
Apache,kmeans_random,18,0.1,4,19,0.16264417667944944
Apache,kmeans_default,19,0.1,4,19,0.15252287830641525
Apache,kmeans_hamming,19,0.1,4,19,0.29033358531058145
Apache,kmeans_random,19,0.1,4,19,0.1641054660736549
Apache,random,,0.1,5,19,0.1830576865469252
Apache,kmeans_default,5,0.1,5,19,0.1754592163444188
Apache,kmeans_hamming,5,0.1,5,19,0.1764403748050799
Apache,kmeans_random,5,0.1,5,19,0.2099119088587801
Apache,kmeans_default,6,0.1,5,19,0.20614828209205446
Apache,kmeans_hamming,6,0.1,5,19,0.16919426253043623
Apache,kmeans_random,6,0.1,5,19,0.19375770755431349
Apache,kmeans_default,7,0.1,5,19,0.18048431961834735
Apache,kmeans_hamming,7,0.1,5,19,0.2124438606922588
Apache,kmeans_random,7,0.1,5,19,0.215287988918759
Apache,kmeans_default,8,0.1,5,19,0.17997002406208687
Apache,kmeans_hamming,8,0.1,5,19,0.15999332622079318
Apache,kmeans_random,8,0.1,5,19,0.16706898181541127
Apache,kmeans_default,9,0.1,5,19,0.17796720311765832
Apache,kmeans_hamming,9,0.1,5,19,0.16453089279630684
Apache,kmeans_random,9,0.1,5,19,0.17306911864162244
Apache,kmeans_default,10,0.1,5,19,0.18723809275382106
Apache,kmeans_hamming,10,0.1,5,19,0.18896701901859136
Apache,kmeans_random,10,0.1,5,19,0.1850676220061264
Apache,kmeans_default,11,0.1,5,19,0.17097849156828038
Apache,kmeans_hamming,11,0.1,5,19,0.1847520373614043
