dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,diversity,,0.1,19,0.14331675893444815,0.0
Apache,kmeans_default,5,0.1,19,0.19390354433098803,0.025433108079509516
Apache,kmeans_default,6,0.1,19,0.1916553870921153,0.03184993916670645
Apache,kmeans_default,7,0.1,19,0.19636057166847776,0.0482883426011084
Apache,kmeans_default,8,0.1,19,0.2205846388037765,0.06856743892753679
Apache,kmeans_default,9,0.1,19,0.21724624589230646,0.05681301230243037
Apache,kmeans_default,10,0.1,19,0.20276149921772255,0.04777865311855065
Apache,kmeans_default,11,0.1,19,0.20884956214811165,0.05454001276400788
Apache,kmeans_default,12,0.1,19,0.21774796590092474,0.04409373328297537
Apache,kmeans_default,13,0.1,19,0.20662506247428217,0.058489555864385916
Apache,kmeans_default,14,0.1,19,0.198330184182208,0.05343871603465986
Apache,kmeans_default,15,0.1,19,0.19525341502364718,0.03387659780852248
Apache,kmeans_default,16,0.1,19,0.22739431105067548,0.0647139780349572
Apache,kmeans_default,17,0.1,19,0.1992281095580806,0.03193457602405035
Apache,kmeans_default,18,0.1,19,0.18828551959884307,0.03211567411117705
Apache,kmeans_default,19,0.1,19,0.2161397060409114,0.055770481108149625
Apache,kmeans_hamming,5,0.1,19,0.1840240428134444,0.022512877920061968
Apache,kmeans_hamming,6,0.1,19,0.1854319837643842,0.02615901115649297
Apache,kmeans_hamming,7,0.1,19,0.18966272750521238,0.023567449998180535
Apache,kmeans_hamming,8,0.1,19,0.18181801339210396,0.02774364727730945
Apache,kmeans_hamming,9,0.1,19,0.18643975129028276,0.025208093284979728
Apache,kmeans_hamming,10,0.1,19,0.18257870812070606,0.01879502667812233
Apache,kmeans_hamming,11,0.1,19,0.1948486853551259,0.01979176086327792
Apache,kmeans_hamming,12,0.1,19,0.19626130634745162,0.026531637645545114
Apache,kmeans_hamming,13,0.1,19,0.20309518360808648,0.04016966780061537
Apache,kmeans_hamming,14,0.1,19,0.20100109835744745,0.027898978936883537
Apache,kmeans_hamming,15,0.1,19,0.1953527822025909,0.016460592919524383
Apache,kmeans_hamming,16,0.1,19,0.1954789306701462,0.01916626670617635
Apache,kmeans_hamming,17,0.1,19,0.1968277973245685,0.024102160677865386
Apache,kmeans_hamming,18,0.1,19,0.2076976112524241,0.025891379399375896
Apache,kmeans_hamming,19,0.1,19,0.21446351187771756,0.02792779553906305
Apache,kmeans_random,5,0.1,19,0.18337943099919832,0.021812004545373083
Apache,kmeans_random,6,0.1,19,0.18450950628064733,0.03365706826806451
Apache,kmeans_random,7,0.1,19,0.18346371482684326,0.026838027898957045
Apache,kmeans_random,8,0.1,19,0.1952351397342946,0.034037558814970406
Apache,kmeans_random,9,0.1,19,0.18456295206528658,0.028343971629348715
Apache,kmeans_random,10,0.1,19,0.18264199724301422,0.022549014504657874
Apache,kmeans_random,11,0.1,19,0.18194185041606623,0.022456852992128386
Apache,kmeans_random,12,0.1,19,0.1820846053697511,0.02633777416086442
Apache,kmeans_random,13,0.1,19,0.1782324882162725,0.017669617054410967
Apache,kmeans_random,14,0.1,19,0.18314340061576911,0.018921878391948064
Apache,kmeans_random,15,0.1,19,0.1798314673684209,0.02206976060437853
Apache,kmeans_random,16,0.1,19,0.18331962269058108,0.023499529240037755
Apache,kmeans_random,17,0.1,19,0.1772086418745471,0.02100831109718987
Apache,kmeans_random,18,0.1,19,0.17745034418815367,0.020962611931369595
Apache,kmeans_random,19,0.1,19,0.17974714837253114,0.018854456817786417
Apache,random,,0.1,19,0.17877063721502304,0.019254492440610144
Apache,diversity,,0.2,38,0.15775170444474074,0.0
Apache,kmeans_default,5,0.2,38,0.19404368818432166,0.04816417589214372
Apache,kmeans_default,6,0.2,38,0.1914767700609433,0.031233844028702724
