dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,kmeans_random,16,0.2,4,38,0.15436067123947386
Apache,kmeans_default,17,0.2,4,38,0.1643333664267555
Apache,kmeans_hamming,17,0.2,4,38,0.16556036565069857
Apache,kmeans_random,17,0.2,4,38,0.156000215777382
Apache,kmeans_default,18,0.2,4,38,0.148441085112816
Apache,kmeans_hamming,18,0.2,4,38,0.16293876942384627
Apache,kmeans_random,18,0.2,4,38,0.14752531804374447
Apache,kmeans_default,19,0.2,4,38,0.1478878641534903
Apache,kmeans_hamming,19,0.2,4,38,0.16084480153370434
Apache,kmeans_random,19,0.2,4,38,0.16702530500606125
Apache,kmeans_default,20,0.2,4,38,0.15146934337514914
Apache,kmeans_hamming,20,0.2,4,38,0.15921047833144047
Apache,kmeans_random,20,0.2,4,38,0.16332063619976786
Apache,kmeans_default,21,0.2,4,38,0.15955767786372405
Apache,kmeans_hamming,21,0.2,4,38,0.17174274320490904
Apache,kmeans_random,21,0.2,4,38,0.16041026800833388
Apache,kmeans_default,22,0.2,4,38,0.15620759068827234
Apache,kmeans_hamming,22,0.2,4,38,0.1567486133399366
Apache,kmeans_random,22,0.2,4,38,0.170824112500727
Apache,kmeans_default,23,0.2,4,38,0.151730872762411
Apache,kmeans_hamming,23,0.2,4,38,0.18718873565754224
Apache,kmeans_random,23,0.2,4,38,0.17161612279335337
Apache,kmeans_default,24,0.2,4,38,0.15649352425167098
Apache,kmeans_hamming,24,0.2,4,38,0.1879125075681377
Apache,kmeans_random,24,0.2,4,38,0.1568399179315489
Apache,kmeans_default,25,0.2,4,38,0.1487974705766759
Apache,kmeans_hamming,25,0.2,4,38,0.16703963146886436
Apache,kmeans_random,25,0.2,4,38,0.15226945077176635
Apache,kmeans_default,26,0.2,4,38,0.15547101484440098
Apache,kmeans_hamming,26,0.2,4,38,0.16945390087508885
Apache,kmeans_random,26,0.2,4,38,0.15205140627624855
Apache,kmeans_default,27,0.2,4,38,0.1691845756394129
Apache,kmeans_hamming,27,0.2,4,38,0.1657324625964137
Apache,kmeans_random,27,0.2,4,38,0.16043285691172016
Apache,kmeans_default,28,0.2,4,38,0.15943228217989663
Apache,kmeans_hamming,28,0.2,4,38,0.18188451969078484
Apache,kmeans_random,28,0.2,4,38,0.1458685017218244
Apache,kmeans_default,29,0.2,4,38,0.17831105029460115
Apache,kmeans_hamming,29,0.2,4,38,0.17553822508239367
Apache,kmeans_random,29,0.2,4,38,0.16253413252942767
Apache,kmeans_default,30,0.2,4,38,0.1541014464114534
Apache,kmeans_hamming,30,0.2,4,38,0.18109671126960455
Apache,kmeans_random,30,0.2,4,38,0.1531041705651163
Apache,kmeans_default,31,0.2,4,38,0.1695086863224793
Apache,kmeans_hamming,31,0.2,4,38,0.19668388839950926
Apache,kmeans_random,31,0.2,4,38,0.1471632423349683
Apache,kmeans_default,32,0.2,4,38,0.15814564074443882
Apache,kmeans_hamming,32,0.2,4,38,0.18551107824610064
Apache,kmeans_random,32,0.2,4,38,0.15949623229092272
Apache,kmeans_default,33,0.2,4,38,0.1528402042040849
Apache,kmeans_hamming,33,0.2,4,38,0.17375141975356867
Apache,kmeans_random,33,0.2,4,38,0.15890746857589808
Apache,kmeans_default,34,0.2,4,38,0.1598470215810303
Apache,kmeans_hamming,34,0.2,4,38,0.14935890887449454
Apache,kmeans_random,34,0.2,4,38,0.16167182116032688
Apache,kmeans_default,35,0.2,4,38,0.16300889014985792
Apache,kmeans_hamming,35,0.2,4,38,0.16384001574520524
Apache,kmeans_random,35,0.2,4,38,0.1683709577107419
Apache,kmeans_default,36,0.2,4,38,0.14667265999450046
Apache,kmeans_hamming,36,0.2,4,38,0.16682032508559874
Apache,kmeans_random,36,0.2,4,38,0.1616861277594286
Apache,kmeans_default,37,0.2,4,38,0.15082605054819645
Apache,kmeans_hamming,37,0.2,4,38,0.18295154565112123
Apache,kmeans_random,37,0.2,4,38,0.1470460234808842
Apache,kmeans_default,38,0.2,4,38,0.14646204442950247
Apache,kmeans_hamming,38,0.2,4,38,0.18696536900094687
Apache,kmeans_random,38,0.2,4,38,0.14951696494334507
Apache,random,,0.3,4,58,0.14161265839522327
Apache,kmeans_default,5,0.3,4,58,0.1649684289392115
Apache,kmeans_hamming,5,0.3,4,58,0.14808415508363143
Apache,kmeans_random,5,0.3,4,58,0.1527164892109458
Apache,kmeans_default,6,0.3,4,58,0.17623435112891642
Apache,kmeans_hamming,6,0.3,4,58,0.15681844560877276
Apache,kmeans_random,6,0.3,4,58,0.16568415062090014
Apache,kmeans_default,7,0.3,4,58,0.16242070837821448
Apache,kmeans_hamming,7,0.3,4,58,0.1495822484605783
Apache,kmeans_random,7,0.3,4,58,0.15037160144756903
Apache,kmeans_default,8,0.3,4,58,0.2104147188089228
Apache,kmeans_hamming,8,0.3,4,58,0.16443286738978202
Apache,kmeans_random,8,0.3,4,58,0.16100521022812359
Apache,kmeans_default,9,0.3,4,58,0.14394581092365688
Apache,kmeans_hamming,9,0.3,4,58,0.1530209643564384
Apache,kmeans_random,9,0.3,4,58,0.16572858904589705
Apache,kmeans_default,10,0.3,4,58,0.14768755668670105
Apache,kmeans_hamming,10,0.3,4,58,0.1422634982452726
Apache,kmeans_random,10,0.3,4,58,0.1459987714360973
